,ids,pids,prompt,response
10,2086,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was called a racial slur by some kids in the park."""
11,2086,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","a friend of mine made a joke about my race and I felt uncomfortable."""
12,2086,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was walking through a predominantly black neighborhood and people would stare at me like I didn't belong there."""
13,2086,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was walking down the street and someone yelled racial slurs at me from their car."""
14,2086,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was turned away from an internship opportunity because of my race."""
15,2103,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was walking home from school with two of my friends and someone called us racial slurs and followed us."""
16,2103,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was called racial slurs on the bus by a group of older kids."""
17,2103,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","people have called me racial slurs when I walk down the street."""
18,2103,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I've been called racial slurs and had people cross the street when they see me."""
19,2103,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, male, black, reponded with: ""","I was walking with my friend when we were stopped by a police officer who asked if we were doing anything wrong. We weren't, but he kept asking us questions."""
20,2187,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, asian, reponded with: ""","I was walking down the street and someone shouted racial slurs at me."""
21,2187,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, asian, reponded with: ""","I've been told to go back to my country even though I was born in the United States."""
22,2187,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, asian, reponded with: ""","I was walking to school and someone yelled racial slurs at me from their car."""
23,2187,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, asian, reponded with: ""","I was walking home from school and a group of older kids started taunting me and calling me a 'chink.'"""
24,2187,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, asian, reponded with: ""","a group of people made fun of my accent when I asked for directions."""
25,2215,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was called a racial slur when walking down the street."""
26,2215,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told I was 'privileged' just because of my skin color."""
27,2215,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told by some of my classmates that I should go back to my own country, even though I'm from here."""
28,2215,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told by a classmate that I was 'lucky to be white.'"""
29,2215,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","My teacher assumed that I was getting extra help in math just because of my race."""
30,2441,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told I should have darker skin because that would be more attractive."""
31,2441,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told I was only accepted into a program because of affirmative action and not due to my own merits."""
32,2441,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","Some of my classmates make fun of me for having lighter skin and make assumptions about me based on my race."""
33,2441,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was called a name by a stranger in the mall for no reason."""
34,2441,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","a group of kids called me a 'white girl' and made fun of me when I was walking home from school."""
35,2449,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, male, reponded with: ""","I was refused service at a restaurant because of the color of my skin."""
36,2449,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, male, reponded with: ""","I was denied a job because of my race."""
37,2449,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, male, reponded with: ""","I was walking down the street and a group of white kids yelled racial slurs at me."""
38,2449,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, male, reponded with: ""","I've been told to go back to my country even though I was born and raised in the United States."""
39,2449,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, male, reponded with: ""","I was walking down the street and a group of older guys started yelling racial slurs at me."""
40,2530,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was walking in my neighborhood and someone yelled a racial slur at me."""
41,2530,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was told to stop dating a girl from a different race because it would cause trouble for me and my family."""
42,2530,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was called a racial slur while walking down the street by a group of kids."""
43,2530,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was walking down the street and a group of people called me a racial slur."""
44,2530,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was refused a job because the employer said they only wanted to hire people of color."""
45,2541,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was walking home from school and some kids started yelling racial slurs at me."""
46,2541,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told I was not allowed to join a club because I was white."""
47,2541,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was told I couldn't join a certain club because they only wanted people of color in it."""
48,2541,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","a group of kids at school told me that I was only getting good grades because of my skin color."""
49,2541,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was walking with my friends and a group of people yelled racial slurs at us."""
50,2571,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","a group of kids called me 'privileged' and told me that I had it easy because I'm white."""
51,2571,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","i have been called slurs and discriminated against because of my skin color."""
52,2571,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I heard someone refer to me as the 'privileged white kid' when I was talking with a group of people."""
53,2571,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","I was denied entry to a club because of my race."""
54,2571,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, male, white, reponded with: ""","a group of people were making derogatory comments about my race when i passed them on the street."""
55,2669,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was turned down for apartment rentals in a nice neighborhood because of my race."""
56,2669,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was refused a job because the employer said they were looking for someone 'more diverse.'"""
57,2669,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I was denied a job because of my race."""
58,2669,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","a classmate made a comment about how my skin color made me superior to others."""
59,2669,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 17 years old, male, white, reponded with: ""","I've been told to go back to my own country even though I was born here."""
60,2772,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I was called a racial slur while walking down the street."""
61,2772,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","someone made a comment in the hallway at school about the color of my skin."""
62,2772,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","I heard my friends make derogatory remarks about people of color."""
63,2772,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","A group of my friends were talking about racial slurs and I felt uncomfortable but I didn't know how to speak up."""
64,2772,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 13 years old, female, white, reponded with: ""","i heard someone use a racial slur in reference to me when i was walking down the street."""
65,2855,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was called a racial slur by an older man when I was walking home from school."""
66,2855,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was told that I didn't understand racism because I'm white."""
67,2855,2,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I had a teacher who treated me differently than my classmates of color, and didn't believe I was capable of achieving the same level of success as them."""
68,2855,3,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","a friend of mine said racist jokes in front of me and when I asked them to stop, they accused me of being too sensitive."""
69,2855,4,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 16 years old, female, white, reponded with: ""","I was refused service at a restaurant because of the color of my skin."""
70,2866,0,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, hispanic, reponded with: ""","my teachers assumed I wouldn't do well in school because of my ethnicity."""
71,2866,1,"When interviewed about how they experienced racism, a person who is 15 years old, male, hispanic, reponded with: ""an old lady called the cops on me for skateboarding in my neighborhood.""

When interviewed about how they experienced racism, a person who is black, male, 13 years old, responded with: ""a store clerk stopped me from leaving the store because he thought i stole something.""

When interviewed about how they experienced racism, a person who is 14 years old, female, hispanic, reponded with: ""","I was told by a classmate that I don't belong in their country because of my skin color."""
